model_label,kelmarsh,nz_farm10,nz_farm11,nz_farm12,nz_farm13,nz_farm4,nz_farm5,nz_farm6,nz_farm7,nz_farm8,nz_farm9,penmanshiel
ARIMA,0.065,0.114,0.14,0.155,0.209,0.014,0.148,0.191,0.08,0.115,0.071,0.02
Ridge,0.243,0.262,-0.297,0.171,0.184,0.233,0.221,0.014,0.044,0.275,0.059,0.216
Random Forest,0.591,0.436,0.553,0.58,0.473,0.463,0.631,0.517,0.352,0.551,0.476,0.506
XGBoost,0.592,0.45,0.552,0.579,0.469,0.466,0.629,0.511,0.355,0.553,0.474,0.505
NLinear,0.219,0.202,0.257,0.255,0.254,0.23,0.281,0.327,0.176,0.287,0.213,0.21
DLinear,0.231,0.218,0.269,0.271,0.31,0.248,0.295,0.32,0.188,0.296,0.194,0.226
LSTM,0.542,0.386,0.419,0.466,0.331,0.363,0.504,0.38,0.233,0.442,0.332,0.429
TCN,0.557,0.409,0.47,0.498,0.359,0.397,0.54,0.416,0.294,0.481,0.399,0.464
Transformer,0.578,0.439,0.487,0.501,0.418,0.419,0.566,0.476,0.319,0.492,0.416,0.478
N-BEATS,0.348,0.265,0.425,0.491,0.329,0.217,0.546,0.379,0.203,0.454,0.237,0.237
N-HiTS,0.345,0.273,0.436,0.516,0.336,0.213,0.569,0.422,0.166,0.465,0.269,0.228
