Model,Short,Medium,Long,All (1–72 h)
ARIMA,-0.344 ± 0.125,+0.160 ± 0.061,+0.228 ± 0.050,+0.110 ± 0.062
Ridge,-0.038 ± 0.155,+0.123 ± 0.245,+0.202 ± 0.123,+0.135 ± 0.162
Random Forest,+0.362 ± 0.090,+0.545 ± 0.084,+0.538 ± 0.069,+0.511 ± 0.077
XGBoost,+0.371 ± 0.089,+0.546 ± 0.081,+0.535 ± 0.068,+0.511 ± 0.075
NLinear,-0.033 ± 0.067,+0.278 ± 0.043,+0.311 ± 0.043,+0.243 ± 0.042
DLinear,+0.041 ± 0.066,+0.281 ± 0.050,+0.310 ± 0.049,+0.255 ± 0.045
LSTM,+0.252 ± 0.103,+0.433 ± 0.089,+0.431 ± 0.079,+0.402 ± 0.084
TCN,+0.281 ± 0.089,+0.477 ± 0.078,+0.469 ± 0.074,+0.440 ± 0.076
Transformer,+0.298 ± 0.079,+0.505 ± 0.075,+0.496 ± 0.068,+0.466 ± 0.070
N-BEATS,+0.079 ± 0.168,+0.388 ± 0.124,+0.404 ± 0.101,+0.344 ± 0.116
N-HiTS,+0.095 ± 0.181,+0.401 ± 0.131,+0.407 ± 0.115,+0.353 ± 0.128
