Farm,Short,Medium,Long,All
Kelmarsh,XGBoost (+0.449),Random Forest (+0.630),Random Forest (+0.618),XGBoost (+0.592)
Nz Farm10,XGBoost (+0.321),XGBoost (+0.481),XGBoost (+0.473),XGBoost (+0.450)
Nz Farm11,XGBoost (+0.413),Random Forest (+0.600),Random Forest (+0.572),Random Forest (+0.553)
Nz Farm12,XGBoost (+0.468),Random Forest (+0.622),Random Forest (+0.592),Random Forest (+0.580)
Nz Farm13,XGBoost (+0.331),Random Forest (+0.520),Random Forest (+0.491),Random Forest (+0.473)
Nz Farm4,Random Forest (+0.268),XGBoost (+0.488),XGBoost (+0.519),XGBoost (+0.466)
Nz Farm5,XGBoost (+0.515),Random Forest (+0.673),Random Forest (+0.643),Random Forest (+0.631)
Nz Farm6,XGBoost (+0.355),Random Forest (+0.535),Random Forest (+0.559),Random Forest (+0.517)
Nz Farm7,XGBoost (+0.204),XGBoost (+0.375),Random Forest (+0.396),XGBoost (+0.355)
Nz Farm8,XGBoost (+0.426),XGBoost (+0.584),Random Forest (+0.577),XGBoost (+0.553)
Nz Farm9,XGBoost (+0.327),Random Forest (+0.501),Random Forest (+0.510),Random Forest (+0.476)
Penmanshiel,XGBoost (+0.379),XGBoost (+0.557),Random Forest (+0.517),Random Forest (+0.506)
